station_id,tl,rf,ff,ffx,cglo,so_h,rr,rrm,tb10,tb20
5963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5972,100.0,100.0,99.99,99.99,100.0,100.0,99.97,100.0,99.88,100.0
5990,99.97,99.9,99.25,99.92,0.0,100.0,99.43,99.97,0.0,0.0
6010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6102,99.94,99.99,99.99,99.99,99.99,100.0,99.88,99.99,99.65,99.99
6111,100.0,100.0,99.83,99.83,0.0,100.0,100.0,100.0,0.0,0.0
6300,99.97,99.97,98.32,99.92,0.0,100.0,99.1,99.96,0.0,0.0
6304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6305,99.88,99.89,99.86,99.87,99.88,100.0,99.86,99.94,99.88,99.88
6308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6415,99.3,99.3,98.76,98.76,98.83,99.22,99.01,99.29,0.0,0.0
6430,99.37,99.27,98.21,98.21,0.0,100.0,99.43,99.41,0.0,0.0
6501,78.35,72.2,78.26,78.34,0.0,0.0,78.24,78.45,0.0,0.0
6510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6512,99.99,99.99,99.87,99.93,99.66,100.0,99.72,99.99,0.0,0.0
6530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6611,99.75,99.99,99.8,99.82,99.96,100.0,99.35,99.76,0.0,0.0
6619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6620,42.91,56.69,56.68,56.68,0.0,56.74,55.67,56.68,12.78,12.78
6621,78.01,78.01,77.56,77.56,78.0,78.08,77.8,78.01,78.01,51.47
6630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6803,100.0,100.0,99.99,99.99,99.92,99.73,99.54,100.0,0.0,69.01
6804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7002,99.87,69.74,99.72,99.72,99.8,99.87,98.42,99.71,0.0,0.0
7012,100.0,100.0,99.94,99.94,100.0,100.0,99.39,99.99,0.0,0.0
7013,20.58,20.59,20.46,20.46,18.0,20.62,20.58,20.58,0.0,0.0
7020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7110,100.0,100.0,99.98,99.85,100.0,100.0,99.92,99.99,98.03,98.03
7200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7221,100.0,100.0,99.99,99.99,99.99,100.0,99.57,99.97,89.42,100.0
7300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7305,99.81,97.33,99.53,99.63,0.0,100.0,99.47,99.81,0.0,0.0
7500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7505,99.92,99.92,99.91,99.92,99.36,100.0,99.89,99.89,97.71,99.92
7531,99.11,99.11,98.55,98.55,99.11,99.12,97.93,98.99,15.1,9.77
7601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7604,100.0,100.0,99.97,99.97,99.99,100.0,99.96,100.0,100.0,100.0
7606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7610,99.96,99.96,99.85,99.85,0.0,99.32,99.65,99.93,0.0,0.0
7641,100.0,100.0,99.43,99.43,100.0,100.0,99.88,99.99,100.0,100.0
7653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7704,99.88,99.88,99.45,99.46,99.85,100.0,99.79,99.85,63.03,99.88
7707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7710,99.98,99.98,99.84,99.84,99.89,100.0,99.84,99.98,99.98,99.98
7714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7890,25.13,25.13,25.12,25.12,25.13,25.13,25.13,25.13,0.0,0.0
7900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7906,93.18,99.98,99.98,99.98,99.98,100.0,99.75,99.97,0.0,0.0
7912,86.43,86.46,86.45,86.45,0.0,86.46,86.36,86.44,0.0,0.0
7950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7955,99.98,99.98,99.96,99.96,99.97,100.0,99.88,100.0,98.36,99.94
7956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8301,100.0,100.0,99.98,99.98,99.79,100.0,99.37,99.98,0.0,0.0
8805,67.52,67.52,67.5,67.5,67.52,67.52,67.3,67.52,0.0,0.0
8806,32.37,32.37,32.37,32.37,32.37,32.37,32.37,32.37,0.0,0.0
9000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9016,99.99,99.99,99.62,99.63,99.99,100.0,99.98,99.99,99.9,99.65
9019,63.47,63.47,63.47,63.47,63.47,63.47,63.47,63.47,0.0,0.0
9105,100.0,100.0,99.94,99.95,85.79,100.0,99.97,99.97,0.0,0.0
9110,100.0,100.0,100.0,100.0,99.78,100.0,99.87,100.0,0.0,0.0
9200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9211,100.0,100.0,99.91,99.91,100.0,100.0,99.72,100.0,99.52,100.0
9215,100.0,100.0,99.97,99.97,99.8,100.0,99.47,100.0,0.0,0.0
9406,99.89,99.89,99.88,99.88,99.81,100.0,99.59,99.91,0.0,0.0
9410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9501,99.89,99.89,99.8,99.8,99.83,100.0,99.69,99.88,0.0,0.0
9510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9512,100.0,100.0,99.7,99.79,0.0,99.99,99.63,99.95,0.0,0.0
9600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9606,51.26,51.26,50.91,50.93,49.18,51.3,50.19,51.25,5.45,17.97
9608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9609,78.41,78.41,78.4,78.4,78.31,78.38,77.98,78.39,0.0,0.0
9610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9618,100.0,100.0,99.99,99.99,99.99,100.0,99.77,99.99,100.0,100.0
9620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9643,99.93,99.93,99.93,99.93,0.0,100.0,98.95,99.92,0.0,0.0
9700,100.0,99.65,99.99,99.99,99.99,100.0,99.78,100.0,0.0,0.0
9701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9801,99.94,99.78,100.0,100.0,99.93,100.0,99.82,100.0,99.92,99.94
9810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9811,100.0,100.0,99.99,99.99,99.99,100.0,99.84,99.99,100.0,95.39
9901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9911,100.0,100.0,99.59,99.59,99.6,99.99,99.92,99.99,0.0,0.0
9919,100.0,99.66,99.99,99.99,0.0,100.0,99.9,100.0,100.0,100.0
9925,100.0,100.0,100.0,100.0,99.93,100.0,99.51,100.0,0.0,0.0
10100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10111,100.0,100.0,100.0,100.0,100.0,100.0,99.67,99.99,0.0,0.0
10200,99.99,99.99,99.92,99.84,99.99,100.0,99.57,99.99,8.47,0.0
10401,99.84,99.51,99.83,99.83,99.6,99.64,99.42,99.84,0.0,0.0
10410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10412,99.99,99.95,99.93,99.94,99.98,100.0,98.16,99.95,0.0,0.0
10415,99.99,89.94,99.99,99.99,99.99,100.0,95.98,96.07,99.38,99.99
10416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10500,99.62,99.67,99.65,99.66,99.66,100.0,98.92,99.48,0.0,0.0
10502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10510,100.0,100.0,99.99,100.0,99.99,100.0,99.91,100.0,99.99,99.99
10511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10531,99.99,99.99,99.98,99.99,99.99,100.0,99.97,99.97,97.0,95.95
10550,99.97,99.99,99.93,99.94,99.91,100.0,98.24,99.97,0.0,0.0
10607,99.99,99.99,99.92,99.92,99.99,100.0,99.97,100.0,0.0,0.0
10700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10710,99.99,99.99,99.99,99.99,99.99,100.0,99.72,100.0,0.0,0.0
10720,53.98,53.98,53.96,53.98,54.0,54.02,53.91,53.97,0.0,0.0
11100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11104,99.97,99.97,99.87,99.87,99.99,100.0,99.89,99.96,8.93,8.93
11106,99.8,99.8,99.98,99.99,100.0,100.0,99.74,99.79,0.0,0.0
11108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11112,100.0,100.0,99.92,99.92,99.99,100.0,99.91,99.99,0.0,0.0
11114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11115,99.98,100.0,99.56,99.56,99.99,100.0,99.68,100.0,91.12,91.12
11116,99.21,98.38,99.18,99.18,0.0,99.42,98.4,99.18,0.0,0.0
11130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11135,99.99,99.99,99.99,99.99,100.0,100.0,99.97,100.0,99.65,99.65
11146,100.0,100.0,99.83,99.83,99.78,100.0,99.8,99.99,0.0,0.0
11203,100.0,100.0,99.74,99.75,99.99,100.0,99.88,100.0,100.0,100.0
11301,99.88,99.99,99.37,99.39,99.99,100.0,99.74,99.98,0.0,0.0
11305,99.99,99.99,99.66,99.66,99.66,100.0,99.66,99.98,99.99,99.99
11311,99.62,99.62,99.61,99.61,86.52,86.8,99.4,99.8,0.0,0.0
11402,100.0,100.0,99.99,99.99,99.99,100.0,99.93,99.97,100.0,100.0
11410,99.27,99.27,99.25,99.27,99.09,100.0,99.24,99.25,0.0,0.0
11505,100.0,100.0,99.99,99.99,100.0,100.0,99.74,99.99,95.57,73.46
11506,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11603,99.95,99.95,99.94,99.94,99.94,100.0,99.92,99.95,0.0,0.0
11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11706,99.84,99.84,99.83,99.83,99.84,100.0,99.82,99.84,0.0,0.0
11804,100.0,100.0,99.97,99.97,99.98,100.0,99.99,99.99,100.0,99.94
12207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19821,100.0,100.0,99.79,99.8,99.99,100.0,99.7,99.99,0.0,0.0
19911,99.6,99.61,99.6,99.6,99.12,100.0,99.51,99.58,99.19,99.19
